ID,Name,Price,Location,Rating,Reviews,Type,Images,Pool,Gym,Spa
2,Hotel No 2,Rs 2000,Lalitpur,2,Our experience at Rancho Valencia was absolutely perfect from beginning to end!!!! We felt special and very happy during our stayed. I would come back in a heart beat!!!,standard roomK19,Room15.jpg,YES,NO,NO
3,Hotel No 3,Rs 2500,Biratnagar,3,Amazing place. Everyone was extremely warm and welcoming. We've stayed at some top notch places and this is definitely in our top 2. Great for a romantic getaway or take the kids along as we did. Had a couple stuffed animals waiting for our girls upon arrival. Can't wait to go back.,luxury suite,Room12.jpg,NO,YES,NO
4,Hotel No 4,Rs 3000,Kathmandu,4,"We booked a 3 night stay at Rancho Valencia to play some tennis, since it is one of the highest rated tennis resorts in America. This place is really over the top from a luxury standpoint and overall experience. The villas are really perfect, the staff is great, attention to details (includes fresh squeezed orange juice each morning), restaurants, bar and room service amazing, and the tennis program was really impressive as well. We will want to come back here again.",luxury suite,Room13.jpg,YES,NO,YES
5,Hotel No 5,Rs 3000,Biratnagar,4,Currently in bed writing this for the past hr 1/2 there have been dogs barking and squealing call the front desk to advise basically to be told there's nothing they can do. 315.00 and I can't sleep.,standard room,Room12.jpg,YES,NO,NO
6,Hotel No 6,Rs 1500,Kathmandu,2,I live in Md and the Aloft is my Home away from home...we stayed 1 night 7-7-16 ...Staff is great ! Especially Olivia who was Extra special because she remembered me by my voice over the phone ...which tells me she is very alert and pays attention to the customer their needs.AND SHE DID ! Thumbs up... More,standard room,Room5.jpg,NO,YES,YES
7,Hotel No 7,Rs 3500,Lalitpur,2,"I stayed here with my family for my daughters wedding. It had a very accommodating staff, Olivia was excellent. The rooms were very well maintained. Would highly recommend this hotel, especially if your wedding venue is Celebrations at the Bay!",family room,Room2.jpg,YES,YES,NO
8,Hotel No 8,Rs 3500,Biratnagar,2,"Beautiful rooms and the nicest people working there. The front desk lady, Olivia, was extremely patient and helpful. We had lots of questions and she had just as many answers. The rooms were sleek and modern. The only thing that would make this hotel better would be free breakfast, but I really am asking for a lot. A++ stay. Thank... More",deluxe hotel room,Room4.jpg,YES,YES,NO
9,Hotel No 9,Rs 3000, Pokhara,3,"We stayed here while visiting Maryland Live!. Cute hotel in a great location. Clean, with a very modern look, upgraded bathrooms and amenities and super nice staff. Would definitely recommend and stay there again!",family room,Room14.jpg,NO,YES,NO
10,Hotel No 10,Rs 2000,Bharatpur,5,"I travel a lot with my job, so I'm constantly staying at hotels. When my co-workers and I arrived late last night at the Aloft the people at the front desk were more than welcoming. When I wanted to order room service I was told it was too late however, Olivia at the front desk informed me of a Italian... More",deluxe hotel room,Room3.jpg,NO,YES,YES
11,Hotel No 11,Rs 3000, Pokhara,5,"In my line of work, I use meeting space in hotels often. In my 15+ years of doing this work, this is the first time I've felt the undeniable pull to go out and write a hotel review, based solely on my meeting room experience. Though I did not use a guest room here, my colleagues who did shared that... More",family room,Room5.jpg,YES,NO,YES
